종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"051915","LG화학우 ","142500","0","0.00",,,,,,,"4050","2.84"
"002550","LIG손해보험 ","32700","850","2.67","3221","10.15",,,"25974","1.26","550","1.68"
"079950","LIG에이디피 ","4490","5","0.11",,,,,"1399","3.21","0","0.00"
"006260","LS ","76800","-2200","-2.78","6128","12.53",,,"72222","1.06","1250","1.63"
"000680","LS네트웍스 ","4360","-65","-1.47","249","17.51",,,"10165","0.43","50","1.15"
"000685","LS네트웍스우 ","64000","-1700","-2.59",,,,,,,"100","0.16"
"000687","LS네트웍스전환상환2우B ","4500","0","0.00",,,,,,,"175","3.89"
"010120","LS산전 ","66400","-600","-0.90","3421","19.41",,,"27810","2.39","1000","1.51"
"086960","MDS테크 ","14850","-150","-1.00","1197","12.41",,,"8255","1.80","270","1.82"
"023150","MH에탄올 ","2995","5","0.17","59","50.76",,,"5589","0.54","0","0.00"
"065150","MPK ","1710","-20","-1.16","59","28.98",,,"345","4.96","20","1.17"
"035420","NAVER ","687000","-5000","-0.72","12337","55.69",,,"39134","17.56","616","0.09"
"181710","NHN엔터테인먼트 ","92300","-3300","-3.45",,,,,,,"0","0.00"
"016420","NH농협증권 ","4725","-60","-1.25","315","15.00",,,"8238","0.57","100","2.12"
"034310","NICE ","13100","-100","-0.76","1356","9.66",,,"10073","1.30","130","0.99"
"030190","NICE평가정보 ","3035","-30","-0.98","187","16.23",,,"1614","1.88","90","2.97"
"008260","NI스틸 ","1855","0","0.00","248","7.48",,,"2213","0.84","50","2.70"
"004250","NPC ","5270","150","2.93","505","10.44",,,"3231","1.63","65","1.23"
"004255","NPC우 ","1770","15","0.85",,,,,,,"70","3.95"
"010060","OCI ","175500","0","0.00",,,,,"133074","1.32","400","0.23"
"036490","OCI머티리얼즈 ","32350","-200","-0.61","2756","11.74",,,"32792","0.99","2850","8.81"
"024940","PN풍년 ","1415","-5","-0.35","81","17.47",,,"2681","0.53","25","1.77"
"005490","POSCO ","333500","6000","1.83","31874","10.46",,,"452524","0.74","8000","2.40"
"091340","S&K폴리텍 ","2605","-15","-0.57","3","868.33",,,"5255","0.50","150","5.76"
"100840","S&TC ","17100","-200","-1.16","1298","13.17",,,"25874","0.66","200","1.17"
"000040","S&T모터스 ","452","-1","-0.22",,,,,"533","0.85","0","0.00"
"064960","S&T모티브 ","28900","-50","-0.17","1942","14.88",,,"30764","0.94","500","1.73"
"003570","S&T중공업 ","12600","0","0.00","1245","10.12",,,"21682","0.58","300","2.38"
"036530","S&T홀딩스 ","19050","-100","-0.52","1870","10.19",,,"33753","0.56","400","2.10"
"010950","S-Oil ","75600","-200","-0.26","5025","15.04",,,"46105","1.64","2650","3.51"
"010955","S-Oil우 ","53000","-200","-0.38",,,,,,,"2675","5.05"
"019550","SBI인베스트먼트 ","401","-7","-1.72",,,,,"461","0.87","0","0.00"
"034120","SBS ","42500","1200","2.91","1508","28.18",,,"29862","1.42","600","1.41"
"101060","SBS미디어홀딩스 ","4970","-5","-0.10","221","22.49",,,"4346","1.14","25","0.50"
"046140","SBS콘텐츠허브 ","14800","200","1.37","1076","13.75",,,"6002","2.47","150","1.01"
"099220","SDN ","1320","-5","-0.38",,,,,"1804","0.73","0","0.00"
"040610","SG&G ","4210","-270","-6.03","381","11.05",,,"5247","0.80","0","0.00"
"049470","SGA ","735","-35","-4.55",,,,,"578","1.27","0","0.00"
"004060","SG세계물산 ","656","-15","-2.24","4","164.00",,,"1037","0.63","0","0.00"
"001380","SG충남방적 ","1720","15","0.88",,,,,"2866","0.60","0","0.00"
"001385","SG충남방적우 ","1575000","0","0.00",,,,,,,"0","0.00"
"002360","SH에너지화학 ","826","-14","-1.67","4","206.50",,,"568","1.45","0","0.00"
"002365","SH에너지화학우 ","130000","500","0.39",,,,,,,"0","0.00"
"009160","SIMPAC ","6860","130","1.93","714","9.61",,,"6459","1.06","100","1.46"
"090730","SIMPAC METALLOY ","6540","-60","-0.91","1006","6.50",,,"13171","0.50","100","1.53"
"123700","SJM ","11400","100","0.88","618","18.45",,,"7823","1.46","100","0.88"
"025530","SJM홀딩스 ","5240","70","1.35","618","8.48",,,"7823","0.67","100","1.91"
"003600","SK ","188000","1000","0.53","25881","7.26",,,"239124","0.79","2500","1.33"
"034730","SK C&C ","134000","-1500","-1.11","7642","17.53",,,"44731","3.00","1250","0.93"
"011790","SKC ","33200","250","0.76","1838","18.06",,,"31798","1.04","500","1.51"
"057500","SKC 솔믹스 ","1340","-25","-1.83",,,,,"3904","0.34","0","0.00"
"018670","SK가스 ","71600","-400","-0.56","12779","5.60",,,"113143","0.63","1700","2.37"
"001740","SK네트웍스 ","7460","-10","-0.13","194","38.45",,,"12339","0.60","150","2.01"
"001745","SK네트웍스우 ","16050","-100","-0.62",,,,,,,"175","1.09"
"033630","SK브로드밴드 ","4245","-70","-1.62","76","55.86",,,"3752","1.13","0","0.00"
"003605","SK우 ","78900","100","0.13",,,,,,,"2550","3.23"
"096770","SK이노베이션 ","144000","0","0.00","12720","11.32",,,"164024","0.88","3200","2.22"
"096775","SK이노베이션우 ","66500","0","0.00",,,,,,,"3250","4.89"
"001510","SK증권 ","767","-16","-2.04",,,,,"1326","0.58","0","0.00"
"001515","SK증권우 ","717","-16","-2.18",,,,,,,"0","0.00"
"066270","SK컴즈 ","5570","720","14.85",,,,,"4498","1.24","0","0.00"
"006120","SK케미칼 ","54900","1700","3.20","4459","12.31",,,"54535","1.01","400","0.73"
"006125","SK케미칼우 ","16100","400","2.55",,,,,,,"450","2.80"
