종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
"057680","옴니텔 ","7700","820","11.92","113","68.14",,,"0","0.00"
"010170","옵토매직 ","4190","120","2.95","211","19.86",,,"0","0.00"
"036790","와이드텔레콤 ","330","30","10.00",,,,,"0","0.00"
"033310","와이즈콘트롤 ","340","30","9.68","39","8.72",,,"0","0.00"
"019210","와이지-원 ","1950","0","0.00","379","5.15",,,"0","0.00"
"004940","외환은행 ","3980","170","4.46","1004","3.96","4600","0.87","0","0.00"
"038400","외환카드 ","10550","250","2.43","5725","1.84","14962","0.71","1250","11.85"
"025920","우경철강 ","4320","-110","-2.48","87","49.66",,,"0","0.00"
"053000","우리금융 ","4230","-20","-0.47","940","4.50",,,"0","0.00"
"032820","우리기술 ","5000","150","3.09","165","30.30",,,"0","0.00"
"041190","우리기술투자 ","3020","180","6.34","1435","2.10",,,"0","0.00"
"040420","우리별텔레콤 ","2140","100","4.90","287","7.46",,,"0","0.00"
"037400","우리조명 ","1130","70","6.60","96","11.77",,,"0","0.00"
"001280","우리증권 ","4735","35","0.74","1392","3.40","12212","0.39","1000","21.12"
"013200","우방 ","3580","465","14.93","72076","0.05",,,"0","0.00"
"043580","우석에스텍 ","820","20","2.50","106","7.74",,,"0","0.00"
"006980","우성사료 ","12200","150","1.24","2907","4.20","39599","0.31","650","5.33"
"006210","우성식품 ","435","55","14.47","3060","0.14",,,"0","0.00"
"060550","우수씨엔에스 ","1510","10","0.67","414","3.65",,,"0","0.00"
"017370","우신시스템 ","2005","45","2.30","560","3.58",,,"80","3.99"
"012460","우영 ","3880","370","10.54","592","6.55",,,"0","0.00"
"045880","우전시스텍 ","1120","120","12.00","131","8.55",,,"0","0.00"
"054080","우주통신 ","4700","500","11.90","296","15.88",,,"0","0.00"
"049800","우진세렉스 ","2730","190","7.48","365","7.48",,,"0","0.00"
"056060","우진코리아 ","11200","400","3.70","645","17.36",,,"0","0.00"
"004320","울트라건설 ","4220","70","1.69",,,,,"0","0.00"
"004325","울트라건설우 ","3170","30","0.96",,,,,"0","0.00"
"016880","웅진닷컴 ","3500","125","3.70","667","5.25","3661","0.96","125","3.57"
"021240","웅진코웨이 ","7930","130","1.67","747","10.62","2903","2.73","125","1.58"
"005820","원림 ","5180","-170","-3.18","1015","5.10","19894","0.26","500","9.65"
"032940","원익 ","1840","160","9.52","286","6.43",,,"0","0.00"
"054440","원일정기 ","1170","70","6.36","306","3.82",,,"0","0.00"
"012620","원일특강 ","16000","200","1.27","5090","3.14",,,"0","0.00"
"008370","원풍 ","1040","10","0.97","153","6.80",,,"0","0.00"
"008290","원풍물산 ","5250","110","2.14","876","5.99",,,"0","0.00"
"032030","월드조인트 ","1400","60","4.48","152","9.21",,,"0","0.00"
"047610","월드텔레콤 ","1350","100","8.00","101","13.37",,,"0","0.00"
"036000","웨스텍코리아 ","2670","170","6.80","181","14.75",,,"0","0.00"
"035830","웰링크 ","1040","80","8.33",,,,,"0","0.00"
"044340","위닉스 ","5250","300","6.06","1012","5.19",,,"0","0.00"
"056810","위다스 ","1060","60","6.00","185","5.73",,,"0","0.00"
"051980","위자드소프트 ","2970","310","11.65","246","12.07",,,"0","0.00"
"038620","위즈정보기술 ","2860","60","2.14","155","18.45",,,"0","0.00"
"039390","윌텍정보통신 ","1620","100","6.58","224","7.23",,,"0","0.00"
"033270","유나이티드 ","1640","0","0.00","103","15.92",,,"0","0.00"
"044480","유니더스 ","1810","70","4.02","332","5.45",,,"0","0.00"
"007120","유니모테크 ","1240","50","4.20",,,"3512","0.35","0","0.00"
"038870","유니보스아이 ","1380","130","10.40",,,,,"0","0.00"
"036200","유니셈 ","1450","100","7.41","41","35.37",,,"0","0.00"
"018000","유니슨산업 ","2570","-10","-0.39","189","13.60",,,"0","0.00"
"000910","유니온 ","8460","240","2.92","5924","1.43","38418","0.22","750","8.87"
"034010","유니와이드 ","1530","160","11.68",,,,,"0","0.00"
"011330","유니켐 ","2540","90","3.67",,,"3141","0.81","0","0.00"
"011320","유니크 ","660","-20","-2.94","38","17.37",,,"0","0.00"
"039040","유니텍전자 ","1950","110","5.98","174","11.21",,,"0","0.00"
"067830","유레스 ","8050","220","2.81",,,,,"0","0.00"
"024870","유성금속 ","490","60","13.95",,,"1207","0.41","0","0.00"
"002920","유성기업 ","12450","150","1.22","1187","10.49","34498","0.36","300","2.41"
"024800","유성티엔에스 ","3790","90","2.43","867","4.37",,,"0","0.00"
"054930","유신 ","9870","-1030","-9.45","2315","4.26",,,"0","0.00"
"011690","유양정보 ","3600","40","1.12",,,"12837","0.28","0","0.00"
"036500","유원컴텍 ","1530","60","4.08","220","6.95",,,"0","0.00"
"000220","유유 ","15700","500","3.29","2209","7.11","27834","0.56","800","5.10"
"000225","유유(1우) ","10300","650","6.74",,,,,"850","8.25"
"000227","유유(2우B) ","28600","2300","8.75",,,,,"850","2.97"
"033430","유일반도체 ","1040","70","7.22",,,,,"0","0.00"
"049520","유일전자 ","26550","1450","5.78","915","29.02",,,"0","0.00"
"023410","유진기업 ","2190","40","1.86","260","8.42",,,"0","0.00"
"052810","유진데이타 ","1650","150","10.00","197","8.38",,,"0","0.00"
"023420","유진종합개발 ","29500","50","0.17","2633","11.20",,,"0","0.00"
"050760","유펄스 ","1730","160","10.19","399","4.34",,,"0","0.00"
"000100","유한양행 ","50100","-1800","-3.47","5827","8.60","51907","0.97","1000","2.00"
