,date,code,12개월 간 수익률,name,KOSPI 12개월 간 수익률,KOSPI대비 12개월 간 수익률,12개월 간 KOSPI 이김,PER,PBR,배당수익률,PER_inv,PBR_inv
459,20210102,039560,0.5415704387990762,다산네트웍스,0.3210323790784167,0.22053805972065949,1,268.63,2.74,0.0,0.0037225924133566617,0.36496350364963503
460,20210102,053580,0.6497177713037144,웹케시,0.3210323790784167,0.32868539222529775,1,50.43,8.84,0.28,0.019829466587348802,0.11312217194570136
461,20210102,003070,0.9896907216494846,코오롱글로벌,0.3210323790784167,0.6686583425710679,1,9.89,1.04,1.84,0.10111223458038422,0.9615384615384615
462,20210102,003530,0.0681265206812652,한화투자증권,0.3210323790784167,-0.2529058583971515,0,4.36,0.42,0.0,0.2293577981651376,2.380952380952381
463,20210102,027410,-0.11,BGF,0.3210323790784167,-0.4310323790784167,0,17.76,0.32,2.2,0.0563063063063063,3.125
464,20210102,123890,0.17964071856287425,한국자산신탁,0.3210323790784167,-0.14139166051554244,0,5.25,0.72,5.19,0.19047619047619047,1.3888888888888888
465,20210102,059090,1.603448275862069,미코,0.3210323790784167,1.2824158967836523,1,58.69,5.14,0.26,0.01703867779860283,0.19455252918287938
466,20210102,060720,-0.10329670329670329,KH바텍,0.3210323790784167,-0.42432908237512,0,10000.0,2.51,0.0,0.0001,0.39840637450199207
467,20210102,013120,0.2524752475247525,동원개발,0.3210323790784167,-0.06855713155366422,0,5.61,0.62,3.25,0.17825311942959002,1.6129032258064517
468,20210102,339770,-0.3725806451612903,교촌에프앤비,0.3210323790784167,-0.6936130242397069,0,13.47,4.95,0.51,0.07423904974016332,0.20202020202020202
469,20210102,009410,1.0085106382978724,태영건설,0.3210323790784167,0.6874782592194557,1,9.2,0.83,1.23,0.10869565217391305,1.2048192771084338
470,20210102,097780,0.315018315018315,에스맥,0.3210323790784167,-0.006014064060101687,0,10000.0,1.9,0.0,0.0001,0.5263157894736842
471,20210102,010050,-0.1449044585987261,우리종금,0.3210323790784167,-0.4659368376771428,0,6.88,1.0,0.0,0.14534883720930233,1.0
472,20210102,071320,-0.14783526927138332,지역난방공사,0.3210323790784167,-0.4688676483498,0,10000.0,0.31,0.0,0.0001,3.2258064516129035
473,20210102,064550,1.5912408759124088,바이오니아,0.3210323790784167,1.2702084968339922,1,10000.0,13.73,0.0,0.0001,0.07283321194464676
474,20210102,029960,-0.03873598369011213,코엔텍,0.3210323790784167,-0.3597683627685288,0,19.24,3.05,5.79,0.05197505197505198,0.3278688524590164
475,20210102,104830,0.188135593220339,원익머트리얼즈,0.3210323790784167,-0.1328967858580777,0,16.49,1.51,0.41,0.06064281382656156,0.6622516556291391
476,20210102,089030,0.7326007326007326,테크윙,0.3210323790784167,0.41156835352231586,1,40.84,2.63,0.96,0.024485798237022526,0.3802281368821293
477,20210102,041140,0.8565400843881856,넥슨지티,0.3210323790784167,0.535507705309769,1,152.35,4.26,0.0,0.006563833278634723,0.2347417840375587
478,20210102,244460,0.17910829655216529,올리패스,0.3210323790784167,-0.1419240825262514,0,10000.0,23.19,0.0,0.0001,0.04312203536006899
479,20210102,100130,2.122330097087379,동국S&C,0.3210323790784167,1.8012977180089622,1,46.67,1.74,1.25,0.021427040925648167,0.5747126436781609
480,20210102,175250,0.7597063297837159,아이큐어,0.3210323790784167,0.4386739507052992,1,10000.0,3.99,0.0,0.0001,0.2506265664160401
481,20210102,030520,0.8571428571428571,한글과컴퓨터,0.3210323790784167,0.5361104780644403,1,21.47,1.93,0.0,0.04657661853749418,0.5181347150259068
482,20210102,195990,1.1819262782401903,에이비프로바이오,0.3210323790784167,0.8608938991617736,1,10000.0,2.48,0.0,0.0001,0.40322580645161293
483,20210102,002390,0.46373626373626375,한독,0.3210323790784167,0.14270388465784706,1,12.89,1.32,0.84,0.07757951900698215,0.7575757575757576
484,20210102,322000,1.415151515151515,현대에너지솔루션,0.3210323790784167,1.0941191360730984,1,14.44,1.42,0.0,0.06925207756232687,0.7042253521126761
485,20210102,145720,-0.23605947955390336,덴티움,0.3210323790784167,-0.55709185863232,0,23.75,2.18,0.0,0.042105263157894736,0.4587155963302752
486,20210102,249420,0.16875888936985964,일동제약,0.3210323790784167,-0.15227348970855706,0,10000.0,1.78,0.0,0.0001,0.5617977528089888
487,20210102,126560,0.13049853372434017,현대퓨처넷,0.3210323790784167,-0.19053384535407653,0,11.6,0.61,1.51,0.08620689655172414,1.639344262295082
488,20210102,034120,0.10046728971962617,SBS,0.3210323790784167,-0.22056508935879054,0,22.04,0.77,0.61,0.045372050816696916,1.2987012987012987
489,20210102,017390,0.2517289073305671,서울가스,0.3210323790784167,-0.06930347174784962,0,11.85,0.46,1.97,0.08438818565400844,2.1739130434782608
490,20210102,000815,-0.12,삼성화재우,0.3210323790784167,-0.4410323790784167,0,10000.0,10000.0,6.12,0.0001,0.0001
491,20210102,034950,0.7672413793103449,한국기업평가,0.3210323790784167,0.44620900023192817,1,21.35,4.13,8.85,0.046838407494145196,0.24213075060532688
492,20210102,068400,-0.2330508474576271,SK렌터카,0.3210323790784167,-0.5540832265360438,0,12.64,0.97,0.0,0.0791139240506329,1.0309278350515465
493,20210102,272290,-0.10553158101216163,이녹스첨단소재,0.3210323790784167,-0.42656396009057834,0,12.69,2.51,0.0,0.07880220646178093,0.39840637450199207
494,20210102,089010,0.5710227272727273,켐트로닉스,0.3210323790784167,0.2499903481943106,1,23.93,4.47,1.02,0.041788549937317176,0.2237136465324385
495,20210102,006730,-0.10807886511180573,서부T&D,0.3210323790784167,-0.4291112441902224,0,7550.0,0.66,0.0,0.00013245033112582781,1.5151515151515151
496,20210102,093050,-0.17415730337078653,LF,0.3210323790784167,-0.49518968244920325,0,6.46,0.36,3.34,0.15479876160990713,2.7777777777777777
497,20210102,014830,0.03759398496240601,유니드,0.3210323790784167,-0.2834383941160107,0,6.42,0.61,2.46,0.1557632398753894,1.639344262295082
498,20210102,138610,2.9363636363636365,나이벡,0.3210323790784167,2.6153312572852196,1,10000.0,15.78,0.0,0.0001,0.06337135614702155
499,20210102,041190,0.9173228346456693,우리기술투자,0.3210323790784167,0.5962904555672526,1,36.71,5.72,0.0,0.027240533914464723,0.17482517482517484
500,20210102,216050,1.1428571428571428,인크로스,0.3210323790784167,0.8218247637787262,1,42.98,6.53,0.0,0.02326663564448581,0.15313935681470137
501,20210102,215000,0.03125,골프존,0.3210323790784167,-0.2897823790784167,0,26.46,2.15,3.0,0.03779289493575208,0.46511627906976744
