date,code,12개월 간 수익률,name,KOSPI 12개월 간 수익률,KOSPI대비 12개월 간 수익률,12개월 간 KOSPI 이김,PER,PBR,배당수익률,PER_inv,PBR_inv
20211210,038880,0.15,아이에이,0.0924560964191228,0.0575439035808772,1,22.02,3.22,0.0,0.0454132606721163,0.31055900621118
20211210,322310,-0.403846153846154,오로스테크놀로지,0.0924560964191228,-0.496302250265277,0,211.36,11.88,0.0,0.00473126419379258,0.0841750841750842
20211210,064290,0.767527675276753,인텍플러스,0.0924560964191228,0.67507157885763,1,31.64,9.85,0.42,0.0316055625790139,0.101522842639594
20211210,007460,-0.297235023041475,에이프로젠 MED,0.0924560964191228,-0.389691119460597,0,10000.0,0.87,0.0,0.0001,1.14942528735632
20211210,122990,-0.317460317460317,와이솔,0.0924560964191228,-0.40991641387944,0,91.88,0.9,2.33,0.0108837614279495,1.11111111111111
20211210,251370,0.181286549707602,와이엠티,0.0924560964191228,0.0888304532884795,1,21.29,3.04,0.0,0.0469704086425552,0.328947368421053
20211210,093230,-0.137096774193548,이아이디,0.0924560964191228,-0.229552870612671,0,10000.0,1.61,0.0,0.0001,0.62111801242236
20211210,005810,0.465682806024462,풍산홀딩스,0.0924560964191228,0.373226709605339,1,19.94,0.46,4.14,0.0501504513540622,2.17391304347826
20211210,037070,0.651340996168582,파세코,0.0924560964191228,0.55888489974946,1,21.25,3.49,1.39,0.0470588235294118,0.286532951289398
20211210,009520,0.493801652892562,포스코엠텍,0.0924560964191228,0.401345556473439,1,31.99,3.12,1.11,0.0312597686777118,0.32051282051282
20211210,003920,0.462214411247803,남양유업,0.0924560964191228,0.36975831482868,1,10000.0,0.43,0.24,0.0001,2.32558139534884
20211210,277810,-0.286538461538461,레인보우로보틱스,0.0924560964191228,-0.378994557957584,0,10000.0,36.95,0.0,0.0001,0.027063599458728
20211210,066410,1.89397089397089,버킷스튜디오,0.0924560964191228,1.80151479755177,1,10000.0,4.94,0.0,0.0001,0.202429149797571
20211210,284620,-0.343825665859564,카이노스메드,0.0924560964191228,-0.436281762278687,0,10000.0,22.97,0.0,0.0001,0.043535045711798
20211210,281740,0.545144804088586,레이크머티리얼즈,0.0924560964191228,0.452688707669463,1,146.29,7.39,0.0,0.00683573723426072,0.13531799729364
20211210,194370,2.00807537012113,제이에스코퍼레이션,0.0924560964191228,1.91561927370201,1,118.25,1.98,2.01,0.00845665961945032,0.505050505050505
20211210,084680,-0.39067055393586,이월드,0.0924560964191228,-0.483126650354983,0,10000.0,0.82,0.0,0.0001,1.21951219512195
20211210,136480,-0.0262237762237762,하림,0.0924560964191228,-0.118679872642899,0,35.25,1.04,0.0,0.0283687943262411,0.961538461538462
20211210,003570,0.536332179930796,SNT중공업,0.0924560964191228,0.443876083511673,1,26.99,0.49,3.38,0.0370507595405706,2.04081632653061
20211210,101360,0.115009746588694,이엔드디,0.0924560964191228,0.0225536501695712,1,69.93,4.83,0.0,0.0143000143000143,0.20703933747412
20211210,174900,-0.305755395683453,앱클론,0.0924560964191228,-0.398211492102576,0,10000.0,10.05,0.0,0.0001,0.099502487562189
20211210,029460,-0.183864915572233,케이씨,0.0924560964191228,-0.276321011991355,0,5.65,0.5,1.38,0.176991150442478,2.0
20211210,126700,0.563492063492063,하이비젼시스템,0.0924560964191228,0.471035967072941,1,25.96,2.22,0.25,0.0385208012326656,0.45045045045045
20211210,234340,-0.0126984126984127,세틀뱅크,0.0924560964191228,-0.105154509117535,0,24.03,2.5,1.13,0.0416146483562214,0.4
20211210,079980,0.0415647921760391,휴비스,0.0924560964191228,-0.0508913042430837,0,3.41,0.62,3.52,0.293255131964809,1.61290322580645
20211210,077500,-0.166666666666667,유니퀘스트,0.0924560964191228,-0.259122763085789,0,11.98,1.28,1.16,0.0834724540901503,0.78125
20211210,016610,0.463002114164905,DB금융투자,0.0924560964191228,0.370546017745782,1,2.97,0.37,4.34,0.336700336700337,2.7027027027027
20211210,048910,1.78042959427208,대원미디어,0.0924560964191228,1.68797349785295,1,68.73,3.48,0.0,0.0145496871817256,0.28735632183908
20211210,036800,0.0635208711433757,나이스정보통신,0.0924560964191228,-0.0289352252757471,0,20.33,1.22,1.57,0.0491883915395967,0.819672131147541
20211210,332570,-0.416296296296296,와이팜,0.0924560964191228,-0.508752392715419,0,39.6,3.02,1.27,0.0252525252525253,0.33112582781457
20211210,150840,1.09028727770178,인트로메딕,0.0924560964191228,0.997831181282656,1,10000.0,10.64,0.0,0.0001,0.093984962406015
20211210,311320,1.96540880503145,지오엘리먼트,0.0924560964191228,1.87295270861232,1,88.3,10.16,0.0,0.0113250283125708,0.0984251968503937
20211210,016450,-0.170454545454545,한세예스24홀딩스,0.0924560964191228,-0.262910641873668,0,5.27,0.79,3.42,0.189753320683112,1.26582278481013
20211210,372910,-0.1796875,한컴라이프케어,0.0924560964191228,-0.272143596419123,0,5.34,5.47,0.0,0.187265917602996,0.182815356489945
20211210,067280,0.478129713423831,멀티캠퍼스,0.0924560964191228,0.385673617004708,1,28.99,2.47,1.02,0.034494653328734,0.404858299595142
20211210,149950,1.26277372262774,아바텍,0.0924560964191228,1.17031762620861,1,48.95,2.08,0.54,0.0204290091930541,0.480769230769231
20211210,000140,-0.216300940438871,하이트진로홀딩스,0.0924560964191228,-0.308757036857994,0,4.15,0.6,3.2,0.240963855421687,1.66666666666667
20211210,009155,0.336912751677852,삼성전기우,0.0924560964191228,0.24445665525873,1,10000.0,10000.0,1.46,0.0001,0.0001
20211210,036530,0.208191126279863,SNT홀딩스,0.0924560964191228,0.115735029860741,1,6.99,0.34,3.67,0.143061516452074,2.94117647058823
20211210,065680,-0.10077519379845,우주일렉트로,0.0924560964191228,-0.193231290217572,0,18.76,1.46,1.21,0.0533049040511727,0.684931506849315
20211210,054920,0.68046357615894,한컴위드,0.0924560964191228,0.588007479739818,1,33.06,2.19,0.0,0.0302480338777979,0.45662100456621
20211210,138610,-0.327906976744186,나이벡,0.0924560964191228,-0.420363073163309,0,10000.0,8.99,0.0,0.0001,0.111234705228031
20211210,090350,0.76761433868974,노루페인트,0.0924560964191228,0.675158242270618,1,16.27,0.88,1.92,0.0614628149969269,1.13636363636364
20211210,037710,0.178807947019868,광주신세계,0.0924560964191228,0.0863518506007448,1,6.56,0.41,1.97,0.152439024390244,2.4390243902439
20211210,001940,0.124087591240876,KISCO홀딩스,0.0924560964191228,0.0316314948217531,1,6.81,0.34,1.95,0.146842878120411,2.94117647058823
20211210,114810,0.969616675499028,아이원스,0.0924560964191228,0.877160579079906,1,696.88,2.45,0.0,0.00143496728274595,0.408163265306122
20211210,097780,-0.436158192090396,에스맥,0.0924560964191228,-0.528614288509518,0,7.98,0.9,0.0,0.12531328320802,1.11111111111111
20211210,010690,1.84710017574692,화신,0.0924560964191228,1.7546440793278,1,10000.0,1.11,0.62,0.0001,0.900900900900901
20211210,357230,-0.155223880597015,에이치피오,0.0924560964191228,-0.247679977016138,0,13.22,3.9,0.0,0.075642965204236,0.256410256410256
20211210,290670,0.176470588235294,대보마그네틱,0.0924560964191228,0.0840144918161714,1,10000.0,5.88,0.0,0.0001,0.170068027210884
20211210,068930,0.0535117056856187,디지털대성,0.0924560964191228,-0.0389443907335041,0,21.24,2.49,3.17,0.0470809792843691,0.401606425702811
20211210,008350,-0.440789473684211,남선알미늄,0.0924560964191228,-0.533245570103333,0,26.84,1.49,0.0,0.03725782414307,0.671140939597315
20211210,023160,0.593984962406015,태광,0.0924560964191228,0.501528865986892,1,10000.0,0.67,0.47,0.0001,1.49253731343284
20211210,166480,-0.257861635220126,코아스템,0.0924560964191228,-0.350317731639249,0,10000.0,6.74,0.0,0.0001,0.148367952522255
20211210,001790,0.449074074074074,대한제당,0.0924560964191228,0.356617977654951,1,11.9,0.63,5.75,0.0840336134453781,1.58730158730159
20211210,054210,0.592539454806313,이랜텍,0.0924560964191228,0.50008335838719,1,10000.0,1.83,0.45,0.0001,0.546448087431694
20211210,200710,-0.176470588235294,에이디테크놀로지,0.0924560964191228,-0.268926684654417,0,73.94,1.9,0.33,0.0135244793075467,0.526315789473684
20211210,260870,1.14592274678112,시그넷이브이,0.0924560964191228,1.05346665036199,1,0.0,0.0,0.0,Inf,Inf
20211210,245620,-0.325854052961391,EDGC,0.0924560964191228,-0.418310149380514,0,10000.0,3.97,0.0,0.0001,0.251889168765743
20211210,083310,-0.0847953216374269,엘오티베큠,0.0924560964191228,-0.17725141805655,0,61.86,1.62,0.32,0.0161655350792111,0.617283950617284
20211210,045100,0.0369127516778524,한양이엔지,0.0924560964191228,-0.0555433447412704,0,5.59,0.76,3.24,0.178890876565295,1.31578947368421
20211210,337930,0.232264844981608,브랜드엑스코퍼레이션,0.0924560964191228,0.139808748562485,1,33.74,4.26,1.17,0.02963841138115,0.234741784037559
20211210,306200,0.119266055045872,세아제강,0.0924560964191228,0.0268099586267488,1,8.33,0.47,2.56,0.120048019207683,2.12765957446808
20211210,241840,0.198347107438017,에이스토리,0.0924560964191228,0.105891011018894,1,10000.0,8.8,0.0,0.0001,0.113636363636364
20211210,144960,-0.0678466076696165,뉴파워프라즈마,0.0924560964191228,-0.160302704088739,0,8.05,1.61,0.79,0.124223602484472,0.62111801242236
20211210,002030,0.381578947368421,아세아,0.0924560964191228,0.289122850949298,1,5.68,0.34,1.59,0.176056338028169,2.94117647058823
20211210,192440,-0.305946791862285,슈피겐코리아,0.0924560964191228,-0.398402888281408,0,5.0,0.82,2.71,0.2,1.21951219512195
20211210,006840,-0.228200371057514,AK홀딩스,0.0924560964191228,-0.320656467476637,0,10000.0,0.41,1.92,0.0001,2.4390243902439
